Revenue,COGS,GrossProfit,OperatingExpenses,OperatingIncome,NetIncome,StatementDate,Quarter,Year,company,file
19343267,15514434,3828833,2210547,1168286,1157488,31/12/2024,,,DIPD,DIPD_quarterly_1.pdf
21263582,16614963,10004519,833871,2214910,1827312,30/09/2022,Q3,2022.0,DIPD,DIPD_quarterly_10.pdf
20730476,15374560,10732650,4803655,5849000,4252636,30/06/2022,Q2,2022.0,DIPD,DIPD_quarterly_11.pdf
12550438,10174187,2376251,1813385,563866,3011102,31/03/2022,Q4,2022.0,DIPD,DIPD_quarterly_12.pdf
12730290,10421358,2308932,820901,116993,927179,31/12/2021,,,DIPD,DIPD_quarterly_13.pdf
13231334,10524082,2707252,2519369,187976,1081126,30/09/2021,Q3,2021.0,DIPD,DIPD_quarterly_14.pdf
16781921,13441706,3340215,4237952,7319823,1391393,30/06/2021,Q2,2021.0,DIPD,DIPD_quarterly_15.pdf
46386667,34556902,11829765,3837952,7191273,5833327,31/03/2021,Q4,2021.0,DIPD,DIPD_quarterly_16.pdf
12314064,8916474,3397590,882907,2214093,1769249,31/12/2020,,,DIPD,DIPD_quarterly_17.pdf
21277143,16638143,4639000,2099002,1824809,1306732,30/09/2024,Q3,2024.0,DIPD,DIPD_quarterly_2.pdf
19186326,15665738,7059046,8193104,254572,812512,30/06/2024,Q2,2024.0,DIPD,DIPD_quarterly_3.pdf
19076054,13583528,5492526,2211934,3269668,2958639,31/03/2024,Q4,2024.0,DIPD,DIPD_quarterly_4.pdf
18041721,14175982,3865739,5981170,1354024,916225,31/12/2023,,,DIPD,DIPD_quarterly_5.pdf
36824185,29123404,7700781,12063183,649446,1863113,30/09/2023,Q3,2023.0,DIPD,DIPD_quarterly_6.pdf
18551212,15084368,3466844,8097179,2625279,8502424,30/06/2023,Q2,2023.0,DIPD,DIPD_quarterly_7.pdf
80099311,60490240,19609071,10607512,9021579,8502424,31/03/2023,Q4,2023.0,DIPD,DIPD_quarterly_8.pdf
61581013,47318492,14262521,5158619,8835827,7001987,31/12/2022,,,DIPD,DIPD_quarterly_9.pdf
1941892,1607594,334298,366856,-26507,-53970,31/12/2024,Q4,2024.0,REXP,REXP_quarterly_1.pdf
2661097,1979877,681220,469480,217655,250220,30/09/2022,Q3,2022.0,REXP,REXP_quarterly_10.pdf
2767931,1735091,1032840,580529,458611,991673,30/06/2022,Q2,2022.0,REXP,REXP_quarterly_11.pdf
1778416,1202429,575987,76958,205982,181894,31/12/2021,Q4,2021.0,REXP,REXP_quarterly_12.pdf
1754079,1155680,598399,324984,279132,243320,30/09/2021,Q3,2021.0,REXP,REXP_quarterly_13.pdf
1400300,955738,444562,239819,210215,199429,30/06/2021,Q2,2021.0,REXP,REXP_quarterly_14.pdf
1344850,921087,423763,168892,267524,294833,31/03/2021,Q1,2021.0,REXP,REXP_quarterly_15.pdf
1486022,978963,507059,194037,318410,298769,31/12/2020,Q4,2020.0,REXP,REXP_quarterly_16.pdf
2139733,1707131,432602,440,-532,-53830,30/09/2024,Q3,2024.0,REXP,REXP_quarterly_2.pdf
1682540,1439393,243147,273,-25349,14640,30/06/2024,Q2,2024.0,REXP,REXP_quarterly_3.pdf
1486128,1123186,362942,237109,135080,-69640,31/03/2024,Q4,2024.0,REXP,REXP_quarterly_4.pdf
2089873,1670217,419656,343242,87501,70783,31/12/2023,Q4,2023.0,REXP,REXP_quarterly_5.pdf
2069984,1661929,408055,305416,113159,175852,30/09/2023,Q3,2023.0,REXP,REXP_quarterly_6.pdf
520111,373532,146579,18855,86158,20480,30/06/2023,Q2,2023.0,REXP,REXP_quarterly_7.pdf
1702720,1234766,467954,455299,19939,-247433,31/03/2023,Q4,2023.0,REXP,REXP_quarterly_8.pdf
1909048,1487153,421895,417483,4412,52543,31/12/2022,Q4,2022.0,REXP,REXP_quarterly_9.pdf
