Revenue,COGS,GrossProfit,OperatingExpenses,OperatingIncome,NetIncome,company,file,year,quarter
5500797,4512723,988074,423444,564630.0,327595,DIPD,DIPD_2012-06-30.pdf,2012,Q2
1192511,4802964,1189411,439675,527213.0,424080,DIPD,DIPD_2012-09-30.pdf,2012,Q3
17375827,14036329,3339498,1591983,1747515.0,1240766,DIPD,DIPD_2012-12-31.pdf,2012,Q4
6329003,5090888,1238115,1777854,640452.0,530341,DIPD,DIPD_2013-06-30.pdf,2013,Q2
8740662,7444087,1296575,630321,440742.0,305281,DIPD,DIPD_2014-06-30.pdf,2014,Q2
5073812,1272440,2349372,1105449,1172023.0,651765,DIPD,DIPD_2014-09-30.pdf,2014,Q3
9318440,7370356,1948084,2839358,,850293,DIPD,DIPD_2020-06-30.pdf,2020,Q2
20279212,15530755,4748457,1697794,2800373.0,1919786,DIPD,DIPD_2020-09-30.pdf,2020,Q3
32593276,24447229,8146047,2580701,5565339.0,3879586,DIPD,DIPD_2020-12-31.pdf,2020,Q4
46386667,34556902,11829765,4837952,7191273.0,5833327,DIPD,DIPD_2021-03-31.pdf,2021,Q1
16781921,13441706,3330215,4237952,7319823.0,1391393,DIPD,DIPD_2021-06-30.pdf,2021,Q2
30013255,23965788,6047467,664407,3091687.0,2472519,DIPD,DIPD_2021-09-30.pdf,2021,Q3
20730476,15374560,5355920,4803655,5798995.0,4252636,DIPD,DIPD_2022-06-30.pdf,2022,Q2
41994058,31989523,100454535,3276870,7697948.0,6079948,DIPD,DIPD_2022-09-30.pdf,2022,Q3
61581013,47318492,14262521,5158619,8835827.0,7001987,DIPD,DIPD_2022-12-31.pdf,2022,Q4
80099311,60490240,19609071,8087179,11218691.0,8502424,DIPD,DIPD_2023-03-31.pdf,2023,Q1
18551212,15084368,3466844,10871791,237966.0,719991,DIPD,DIPD_2023-06-30.pdf,2023,Q2
36824185,29123404,7700781,4070108,2943756.0,1863113,DIPD,DIPD_2023-09-30.pdf,2023,Q3
19076054,13583528,5492526,2211934,3269668.0,2958639,DIPD,DIPD_2024-03-31.pdf,2024,Q1
40463469,32303881,8159588,4158345,4028284.0,2119244,DIPD,DIPD_2024-09-30.pdf,2024,Q3
686189,452888,233301,87499,149964.0,137527,REXP,REXP_2014-09-30.pdf,2014,Q3
1598891,1098014,500877,190354,310123.0,307978,REXP,REXP_2015-09-30.pdf,2015,Q3
1978479,1300550,677929,231873,449502.0,385466,REXP,REXP_2016-09-30.pdf,2016,Q3
995275,691727,303548,134108,173107.0,160682,REXP,REXP_2018-03-31.pdf,2018,Q1
1426063,970476,455587,147025,299660.0,239051,REXP,REXP_2019-12-31.pdf,2019,Q4
2069984,1661929,408055,305416,113159.0,175852,REXP,REXP_2023-09-30.pdf,2023,Q3
2089873,1670217,419656,344182,87501.0,70783,REXP,REXP_2023-12-31.pdf,2023,Q4
1486128,1123186,362942,237109,135080.0,-69640,REXP,REXP_2024-03-31.pdf,2024,Q1
1682540,1439393,243147,273,-25349.0,14640,REXP,REXP_2024-06-30.pdf,2024,Q2
2139733,1707131,432602,440,-5327.0,-53830,REXP,REXP_2024-09-30.pdf,2024,Q3
1941892,1607594,334298,366856,-26507.0,-53970,REXP,REXP_2024-12-31.pdf,2024,Q4
